City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Chuy,UY,71.15,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
4,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
5,Saint-Joseph,RE,78.8,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
6,Geraldton,AU,70.7,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
8,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Castillo Galapagos
9,Mar Del Plata,AR,75.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
10,Padang,ID,73.4,scattered clouds,-0.9492,100.3543,Mercure Padang
12,Ambulu,ID,78.58,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
16,Carnarvon,AU,73.4,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
17,Rikitea,PF,80.31,clear sky,-23.1203,-134.9692,Pension Maro'i
19,Pangai,TO,75.2,heavy intensity rain,-19.8,-174.35,Ha'apai Beach Resort
22,Sao Sebastiao,BR,74.53,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
37,Kapaa,US,78.8,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
43,Avarua,CK,86.0,overcast clouds,-21.2078,-159.775,Paradise Inn
45,Kirakira,SB,85.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
46,Cidreira,BR,75.81,clear sky,-30.1811,-50.2056,Hotel Castelo
47,Ankpa,NG,73.78,broken clouds,7.3706,7.6253,AA Suites
49,Caravelas,BR,77.65,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
52,Acapulco,MX,84.2,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
53,Hobart,AU,90.0,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
58,Guanay,BO,72.86,overcast clouds,-15.4975,-67.8797,Hotel Ritzy
59,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
65,Atuona,PF,78.39,clear sky,-9.8,-139.0333,Villa Enata
67,Mont-Dore,NC,81.0,broken clouds,-22.2833,166.5833,GIte
70,Sola,VU,86.0,light rain,-13.8833,167.55,Leumerus Bungalows
73,Uberlandia,BR,77.0,clear sky,-18.9186,-48.2772,Comfort Uberlândia
74,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
77,Sao Joao Da Barra,BR,75.87,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
79,Dingle,PH,78.51,light rain,10.9995,122.6711,SEGAYA PROPERTY
83,Sinnamary,GF,76.73,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
89,Gambela,ET,77.04,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
95,Saint-Pierre,RE,78.8,moderate rain,-21.3393,55.4781,Lindsey Hôtel
96,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
