City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Castro,BR,-24.7911,-50.0119,64.22,96,100,4.72,light rain,2021-01-24 23:38:52
1,Chuy,UY,-33.6971,-53.4616,71.15,92,0,7.27,clear sky,2021-01-24 23:35:53
2,Payson,US,40.0444,-111.7321,36.0,75,90,9.22,overcast clouds,2021-01-24 23:36:04
3,Albany,US,42.6001,-73.9662,19.0,46,43,4.0,scattered clouds,2021-01-24 23:35:57
4,Hilo,US,19.7297,-155.09,78.8,65,40,6.91,moderate rain,2021-01-24 23:35:44
5,Saint-Joseph,RE,-21.3667,55.6167,78.8,73,0,3.44,moderate rain,2021-01-24 23:38:53
6,Geraldton,AU,-28.7667,114.6,70.7,65,74,13.89,broken clouds,2021-01-24 23:38:53
7,Visby,SE,57.6409,18.296,35.6,93,90,14.97,light snow,2021-01-24 23:38:53
8,Puerto Ayora,EC,-0.7393,-90.3518,84.2,65,20,13.8,light rain,2021-01-24 23:38:53
9,Mar Del Plata,AR,-38.0023,-57.5575,75.99,88,0,16.11,clear sky,2021-01-24 23:38:48
10,Padang,ID,-0.9492,100.3543,73.4,88,40,5.75,scattered clouds,2021-01-24 23:38:54
11,Mataura,NZ,-46.1927,168.8643,60.01,84,100,21.0,overcast clouds,2021-01-24 23:38:54
12,Ambulu,ID,-8.345,113.6058,78.58,75,76,2.93,broken clouds,2021-01-24 23:38:54
13,Ios,GR,36.7333,25.2833,61.0,67,100,17.27,overcast clouds,2021-01-24 23:38:54
14,Asau,RO,46.4333,26.4,34.0,66,70,2.95,broken clouds,2021-01-24 23:36:59
15,Saskylakh,RU,71.9167,114.0833,-39.26,78,2,6.49,clear sky,2021-01-24 23:38:54
16,Carnarvon,AU,-24.8667,113.6333,73.4,73,90,14.97,overcast clouds,2021-01-24 23:36:23
17,Rikitea,PF,-23.1203,-134.9692,80.31,68,2,10.38,clear sky,2021-01-24 23:35:36
18,Ushuaia,AR,-54.8,-68.3,48.2,81,90,25.32,light rain,2021-01-24 23:38:55
19,Pangai,TO,-19.8,-174.35,75.2,100,90,4.61,heavy intensity rain,2021-01-24 23:38:55
20,Barrow,US,71.2906,-156.7887,-5.8,77,1,11.5,clear sky,2021-01-24 23:35:35
21,Livingston,GB,55.9029,-3.5226,32.0,93,0,9.22,clear sky,2021-01-24 23:38:55
22,Sao Sebastiao,BR,-23.76,-45.4097,74.53,84,96,4.27,overcast clouds,2021-01-24 23:34:10
23,Bredasdorp,ZA,-34.5322,20.0403,66.2,68,46,11.5,scattered clouds,2021-01-24 23:34:09
24,Katsuura,JP,35.1333,140.3,46.99,76,20,16.11,few clouds,2021-01-24 23:38:56
25,Yeniseysk,RU,58.4497,92.1703,-38.38,80,98,4.85,overcast clouds,2021-01-24 23:38:56
26,Punta Arenas,CL,-53.15,-70.9167,51.8,50,0,24.16,clear sky,2021-01-24 23:38:56
27,Mirandola,IT,44.8868,11.0662,36.0,81,8,5.79,clear sky,2021-01-24 23:38:56
28,Osecina,RS,44.3731,19.6014,41.0,81,90,8.05,light rain,2021-01-24 23:38:56
29,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,90,11.5,light snow,2021-01-24 23:38:56
30,Torbay,CA,47.6666,-52.7314,27.0,80,20,16.11,few clouds,2021-01-24 23:38:57
31,Egvekinot,RU,66.3167,-179.1667,-2.9,86,0,8.5,clear sky,2021-01-24 23:36:56
32,Harbour Breton,CA,47.4833,-55.7983,31.19,92,89,16.78,overcast clouds,2021-01-24 23:38:57
33,Cape Town,ZA,-33.9258,18.4232,64.99,63,0,4.61,clear sky,2021-01-24 23:37:13
34,Thompson,CA,55.7435,-97.8558,-9.4,70,90,11.5,snow,2021-01-24 23:38:57
35,Hermosillo,MX,29.0667,-110.9667,63.0,51,75,5.75,broken clouds,2021-01-24 23:36:51
36,Jamestown,US,42.097,-79.2353,23.0,79,90,4.61,overcast clouds,2021-01-24 23:37:16
37,Kapaa,US,22.0752,-159.319,78.8,73,20,14.97,moderate rain,2021-01-24 23:38:58
38,Hermanus,ZA,-34.4187,19.2345,64.99,75,21,5.01,few clouds,2021-01-24 23:35:42
39,Busselton,AU,-33.65,115.3333,63.0,87,0,4.85,clear sky,2021-01-24 23:38:58
40,Cairo,EG,30.0626,31.2497,55.4,71,40,5.75,scattered clouds,2021-01-24 23:38:58
41,Aklavik,CA,68.2191,-135.0107,-14.8,76,90,4.61,light snow,2021-01-24 23:37:15
42,Yellowknife,CA,62.456,-114.3525,-14.01,76,75,10.36,broken clouds,2021-01-24 23:38:58
43,Avarua,CK,-21.2078,-159.775,86.0,66,87,12.66,overcast clouds,2021-01-24 23:35:40
44,Safaga,EG,26.7292,33.9365,57.2,54,0,11.5,clear sky,2021-01-24 23:38:59
45,Kirakira,SB,-10.4544,161.9205,85.71,67,100,10.16,overcast clouds,2021-01-24 23:38:59
46,Cidreira,BR,-30.1811,-50.2056,75.81,88,3,16.51,clear sky,2021-01-24 23:38:59
47,Ankpa,NG,7.3706,7.6253,73.78,21,82,2.68,broken clouds,2021-01-24 23:38:59
48,Mubi,NG,10.2676,13.2644,66.11,27,39,1.97,scattered clouds,2021-01-24 23:38:59
49,Caravelas,BR,-17.7125,-39.2481,77.65,79,99,7.09,overcast clouds,2021-01-24 23:37:02
50,Ludvika,SE,60.1496,15.1878,28.99,93,40,5.75,scattered clouds,2021-01-24 23:39:00
