City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mansar,IN,2021-01-24 22:36:05,21.4,79.25,62.6,77,9,3.2
1,Vaini,TO,2021-01-24 22:34:25,-21.2,-175.2,82.4,78,75,5.75
2,Ribeira Grande,PT,2021-01-24 22:34:21,38.5167,-28.7,64.4,94,75,19.57
3,Albany,US,2021-01-24 22:34:20,42.6001,-73.9662,19.99,43,40,1.01
4,Ushuaia,AR,2021-01-24 22:34:16,-54.8,-68.3,53.6,71,90,11.5
5,Tias,ES,2021-01-24 22:36:05,28.9611,-13.645,64.4,82,0,13.8
6,Kapaa,US,2021-01-24 22:33:59,22.0752,-159.319,78.8,78,75,13.8
7,Torbay,CA,2021-01-24 22:35:03,47.6666,-52.7314,26.01,84,73,3.0
8,Grimshaw,CA,2021-01-24 22:36:06,56.1834,-117.6027,1.4,71,75,9.22
9,Bambous Virieux,MU,2021-01-24 22:34:19,-20.3428,57.7575,77.0,88,75,4.56
10,Port Alfred,ZA,2021-01-24 22:34:25,-33.5906,26.891,64.0,90,81,1.99
11,Pisco,PE,2021-01-24 22:34:58,-13.7,-76.2167,78.8,57,0,17.27
12,Santa Isabel,BR,2021-01-24 22:36:06,-23.3156,-46.2214,75.2,94,75,4.61
13,Nyurba,RU,2021-01-24 22:36:06,63.2842,118.3319,-48.91,75,26,4.12
14,Palana,RU,2021-01-24 22:36:07,59.1167,159.9667,-10.14,92,100,12.21
15,Atasu,KZ,2021-01-24 22:36:07,48.6814,71.6433,-5.87,87,58,2.75
16,Mar Del Plata,AR,2021-01-24 22:30:00,-38.0023,-57.5575,78.8,78,0,14.97
17,Kodiak,US,2021-01-24 22:34:42,57.79,-152.4072,37.4,48,1,20.71
18,Saint-Joseph,RE,2021-01-24 22:36:07,-21.3667,55.6167,78.8,78,75,3.44
19,Cape Town,ZA,2021-01-24 22:34:20,-33.9258,18.4232,66.99,59,0,6.91
20,Faanui,PF,2021-01-24 22:34:38,-16.4833,-151.75,81.55,72,0,11.59
21,Hobart,AU,2021-01-24 22:30:09,-42.8794,147.3294,80.01,29,0,9.22
22,Bluff,NZ,2021-01-24 22:34:26,-46.6,168.3333,60.01,85,99,21.0
23,Mnogovershinnyy,RU,2021-01-24 22:36:08,53.9353,139.9242,-29.51,80,0,5.23
24,Tasiilaq,GL,2021-01-24 22:34:19,65.6145,-37.6368,14.0,57,20,21.85
25,Punta Arenas,CL,2021-01-24 22:34:19,-53.15,-70.9167,53.6,54,75,25.32
26,Khatanga,RU,2021-01-24 22:34:18,71.9667,102.5,-18.58,88,100,10.02
27,Lensk,RU,2021-01-24 22:34:36,60.7253,114.9278,-36.42,79,34,0.56
28,Puerto Ayora,EC,2021-01-24 22:31:10,-0.7393,-90.3518,84.2,65,20,13.8
29,Bagan,RU,2021-01-24 22:36:09,54.1001,77.6646,-36.36,82,75,6.11
30,Marienburg,PL,2021-01-24 22:36:09,54.0359,19.0266,33.01,100,100,6.44
31,Hilo,US,2021-01-24 22:33:10,19.7297,-155.09,80.6,61,40,8.05
32,Upernavik,GL,2021-01-24 22:34:28,72.7868,-56.1549,13.78,93,32,14.43
33,Mahebourg,MU,2021-01-24 22:34:28,-20.4081,57.7,77.0,88,75,4.63
34,Hermanus,ZA,2021-01-24 22:34:50,-34.4187,19.2345,64.99,74,23,7.0
35,Bac Lieu,VN,2021-01-24 22:36:10,9.285,105.7244,74.53,83,66,8.93
36,Yellowknife,CA,2021-01-24 22:30:09,62.456,-114.3525,-14.8,76,75,10.36
37,La Ronge,CA,2021-01-24 22:34:42,55.1001,-105.2842,-20.2,76,31,2.3
38,Ayan,RU,2021-01-24 22:32:09,56.45,138.1667,-24.77,72,62,15.14
39,Tuatapere,NZ,2021-01-24 22:34:33,-46.1333,167.6833,60.01,85,99,21.0
40,New Norfolk,AU,2021-01-24 22:34:33,-42.7826,147.0587,80.01,28,26,4.0
41,Andenes,NO,2021-01-24 22:31:17,69.3143,16.1194,19.99,86,75,8.05
42,Rikitea,PF,2021-01-24 22:34:17,-23.1203,-134.9692,80.2,67,1,9.22
